Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
117,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32-163,1989,10.6,3,0,0,16,12,9,9,1,7,0,0,0,32,26,29,47.3,Matches
118,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24-314,1997,14.0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,,Matches
119,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,27-090,1994,11.6,0,0,0,6,8,0,27,15,13,0,0,0,100,22,13,62.9,Matches
120,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,27-221,1994,2.8,0,0,0,4,4,0,8,4,2,0,0,0,16,8,2,80.0,Matches
121,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,28-339,1992,2.7,0,0,0,5,2,0,8,4,6,0,0,0,32,7,4,63.6,Matches
122,Ezequiel Ávila\253a06b9,ar ARG,FW,Osasuna,es La Liga,27-295,1994,5.7,2,0,0,3,10,6,7,7,2,0,0,0,24,12,33,26.7,Matches
123,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,24-108,1997,9.7,0,0,0,12,8,4,3,2,5,0,0,0,40,23,51,31.1,Matches
124,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,31-118,1990,1.5,1,0,0,1,0,0,1,2,1,0,0,0,7,1,1,50.0,Matches
125,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,eng Premier League,30-078,1991,7.9,1,0,0,13,21,0,17,11,11,0,0,0,60,11,17,39.3,Matches
126,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,27-018,1994,3.3,1,0,0,4,2,0,1,4,4,0,0,0,22,7,8,46.7,Matches
127,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,30-095,1991,5.0,0,0,0,2,5,0,4,5,5,0,0,0,51,10,11,47.6,Matches
128,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,31-315,1990,4.3,2,0,0,12,3,0,0,2,6,0,0,0,21,8,6,57.1,Matches
129,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,32-092,1989,7.0,0,0,0,8,5,0,14,7,8,0,0,0,46,16,15,51.6,Matches
130,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,25-310,1996,12.1,5,0,0,18,25,0,4,21,33,0,0,0,149,30,18,62.5,Matches
131,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,35-081,1986,4.9,2,0,0,2,6,3,1,2,3,1,0,0,14,10,14,41.7,Matches
132,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27-142,1994,4.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Matches
133,Loïc Bade\114bbdee,fr FRA,DF,Rennes,fr Ligue 1,21-231,2000,5.8,3,1,1,3,1,0,2,5,3,0,0,0,35,14,6,70.0,Matches
134,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,it Serie A,32-276,1989,10.3,1,0,0,14,8,0,7,41,16,1,0,0,94,7,14,33.3,Matches
135,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,29-289,1992,2.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,,Matches
136,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,20-247,2001,8.1,3,0,0,12,5,1,0,24,12,0,1,0,91,17,9,65.4,Matches
137,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,fr Ligue 1,19-343,2001,1.4,0,0,0,2,0,1,1,0,0,0,0,0,5,7,6,53.8,Matches
138,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,es La Liga,21-246,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
139,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,fr Ligue 1,29-184,1992,3.9,0,0,0,8,4,1,3,1,2,0,0,0,9,5,12,29.4,Matches
140,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,eng Premier League,24-111,1997,4.4,1,0,0,3,6,1,13,3,9,0,0,0,22,5,6,45.5,Matches
141,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,27-230,1994,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,Matches
